Name,Explanation,Byline,NIfTI,Creator,Contact,WWW,Availability,HowToGet,Version,Date,OpenSource,License,Free,Requirements,TechPubs,ApplPubs,OtherInfo,Keywords,Platforms,LastIATRupdate,Description
RAVENS,Regional volumetric analysis of brain images,,,"Dinggang Shen, Christos Davatzikos",christos@rad.upenn.edu,www.rad.upenn.edu/sbia,,Contact Christos Davatzikos at christos@rad.jhu.edu,,,No,,Yes,Unix or Linux,"D. Shen and C. Davatzikos, Very High Resolution Morphometry Using Mass-Preserving Deformations and HAMMER Elastic Registration, NeuroImage, 18(1):28-41, January 2003.|C. Davatzikos, A. Genc, D. Xu, and S.M. Resnick, Voxel-Based Morphometry Using the RAVENS Maps: Methods and Validation Using Simulated Longitudinal Atrophy, NeuroImage, 14:1361-1369, December 2001|C. Davatzikos, H. Lee, E. Herskovits and S.M. Resnick, ``Analysis of accuracy and sensitivity in detecting brain activations via statistical parametric mapping: A study using a PET simulator'', NeuroImage, 13:176-184, 2001.|C. Davatzikos, ``Measuring biological shape using geometry-based shape transformations'', J. Image and Vision Comp., 19:63-74, 2001.|A.F. Goldszal, C. Davatzikos, D.L. Pham, M.X.H. Yan, R.N. Bryan, and S.M. Resnick, ``An Image Processing Protocol for Qualitative and Quantitative Volumetric Analysis of Brain Images'', J. Comp. Assist. Tomogr., 22(5):827-837, 1998.|D. Shen and C. Davatzikos, HAMMER: Hierarchical Attribute Matching Mechanism for Elastic Registration', IEEE Trans. on Medical Imaging, 21(11):1421-1439, 2002","S.M. Resnick, A.F. Goldszal, C. Davatzikos, S. Golski, M.A. Kraut, E.J. Metter, R.N. Bryan, and A.B. Zonderman, ``One-year age changes in MRI brain volumes in older adults'', Cerebral Cortex, 10:464-472, 2000.|C. Davatzikos and S.M. Resnick, ``Sex differences in anatomic measures of interhemispheric connectivity: correlations with cognition in women but not in men'', Cerebral Cortex Oct/Nov 1998;8:635-640.",,"atlas, functional, registration, segmentation, warping","IRIX, Linux, SunOS, UNIX",30 May 2003,"Performs elastic spatial normalization of brain images, in a mass-preserving framework, which allows for volumetric measurements of very high spatial resolution and with no apriori definitions of ROIs."
btrack,,National Center for Microscopy and Imaging Research,,Steve Lamont,spl@ncmir.ucsd.edu,http://ncmir.ucsd.edu/Software/btrack.htm,For SGI systems,By filling out our Resource Usage Application Form at http://ncmir.ucsd.edu/user_form.html,1.0,many years ago,No,,Yes,Hardware: SGI GX or better hardware OS : IRIX 6.2 or higher,,,,"BioRad, fluorescence, HBP supported, statistical, time-lapse imaging, visualization",IRIX,07 Aug 2006,"This program analyzes and graphs time-lapse imaging data as acquired by a Bio-Rad confocal microscope, for experiments using nonrationmetric fluorescent indicator dyes. Btrack can accommodate changes in the postions of imaged cells/tissue regions, and can be used for analyzing an unlimited number of areas (cells/tissue regions) in an imaged field."
Fido,,National Center for Microscopy and Imaging Research,,Steve Lamont (XFido) & Tomas Molina (JFido),"spl@ncmir.ucsd.edu, tmolina@ncmir.ucsd.edu",http://ncmir.ucsd.edu/Software/fido.htm,xfido is available now; Jfido is under development,By filling out our Resource Usage Application Form at http://ncmir.ucsd.edu/user_form.html,,,No,,Yes,XFido: SGI or Sun XWindow systems JFido: Java 1.2,,,,"BIRN, fiducial, HBP supported, visualization","IRIX, Java, SunOS",07 Aug 2006,"An interactive, graphic, fiducial marking software for placing, editing and tracking fiducial marks on images in a tomography tilt series. You can also use this tool to view the tilt series as well as crop it. This software is available as XFido (XWindow based) or JFido (java-based)"
Synu,,National Center for Microscopy and Imaging Research,,David Hessler & Steve Lamont,spl@ncmir.ucsd.edu,http://ncmir.ucsd.edu/Software/synuview.htm,,http://ncmir.ucsd.edu/doc/SYNU.html#Q11,,many years ago,No,,Yes,"The interactive portion of Synu, SynuView, runs only on Silicon Graphics machines. The non-interactive portions of Synu are supported on a number of Unix-based machines, from Cray supercomputers to Sun Microsystems workstations. An OpenGL version is also available.","David Hessler, Stephen J. Young, Bridget O. Carragher, Maryann E. Martone, Stephen Lamont, Michael Whittaker, Ronald A. Milligan, Eleizer Masliah, Jenny E. Hinshaw, and Mark H. Ellisman (1992) Programs for Visualization in Three-Dimensional Microscopy. Neuroimage 1(1): 55-67 (http://ncmir.ucsd.edu/abstracts.html#Neuro_1)","David Hessler, Stephen J. Young, Bridget O. Carragher, Maryann E. Martone, Stephen Lamont, Michael Whittaker, Ronald A. Milligan, Eleizer Masliah, Jenny E. Hinshaw, and Mark H. Ellisman (1992) Programs for Visualization in Three-Dimensional Microscopy. Neuroimage 1(1): 55-67 (http://ncmir.ucsd.edu/abstracts.html#Neuro_1)",,"HBP supported, surface analysis, tomography, visualization, volume","IRIX, Solaris",07 Aug 2006,"Synu is a collection of programs for manipulation and visual presentation of scientific data. Synu works with polygon meshes, stacks of contour lines, or three-dimensional volumes from confocal Z-series, tomography, or simulations."
Dend,,National Center for Microscopy and Imaging Research,,Steve Lamont & Mona Wong,"spl@ncmir.ucsd.edu, mona@ncmir.ucsd.edu",http://ncmir.ucsd.edu/Software/dend.htm,Java 3D version is under development; XWindow version is no longer available,By filling out our Resource Usage Application Form at http://ncmir.ucsd.edu/user_form.html,1.0,many years ago,No,,Yes,XWindow/OpenGL or Java/Java3D,,,,"BIRN, HBP supported, statistical, visualization","IRIX, Java",07 Aug 2006,An interactive program for resectioning and deriving measurements from contoured structures
Voxtrace,,National Center for Microscopy and Imaging Research,,Steve Lamont,spl@ncmir.ucsd.edu,http://ncmir.ucsd.edu/Software/xvoxtrace.htm,,By filling out our Resource Usage Application Form at http://ncmir.ucsd.edu/user_form.html,2.10.10,,No,,Yes,Voxtrace is currently available for X Window w/ OpenGL (xVoxtrace). A Java-based version (jVoxtrace) is currently being developed,,,,"HBP supported, visualization, volume","Java, Solaris",07 Aug 2006,Voxtrace allows for segmentation of 3D volumes by manual tracing of contours on a series of 2D slices through the volume. Measurements of area and perimeter for each contour are provided. Traced contours can be viewed using Dend or used to generate surfaces for viewing in Synu
EMS,Expectation-Maximization Segmentation,"Medical Image Computing, Leuven, Belgium",,Koen Van Leemput,koen.vanleemput@hut.fi,http://bilbo.esat.kuleuven.ac.be/web-pages/downloads/ems/ems.html,distributed free of charge for research purposes,download from web site,,,No,,Yes,+ MATLAB 5.2.1 or greater + ANSII C-compiler + SPM,"K. Van Leemput, F. Maes, D. Vandermeulen, A. Colchester, P. Suetens, Automated segmentation of multiple sclerosis lesions by model outlier detection , IEEE transactions on medical imaging, vol. 20, no. 8, pp. 677-688, August 2001 - Abstract-|K. Van Leemput, F. Maes, D. Vandermeulen, P. Suetens, Automated model-based tissue classification of MR images of the brain , IEEE transactions on medical imaging, vol. 18, no. 10, pp. 897-908, October 1999 - Abstract-|K. Van Leemput, F. Maes, D. Vandermeulen, P. Suetens, Automated model-based bias field correction of MR images of the brain , IEEE transactions on medical imaging, vol. 18, no. 10, pp. 885-896, October 1999 - Abstract-|F. Maes, A. Collignon, D. Vandermeulen, G. Marchal, P. Suetens, Multimodality image registration by maximization of mutual information , IEEE transactions on Medical Imaging, vol. 16, no. 2, pp. 187-198, April 1997 (in December 2000 recognized by the IEEE as the journal's most frequently cited paper published in 1997) -certificate-",,,"registration, segmentation","HPUX, IRIX, Linux, MATLAB, SunOS, UNIX, Windows",11 Jan 2002,EMS is a freely available suite of Matlab functions and subroutines (with some externally compiled C routines) for fully-automated multi-spectral classification of brain tissues in Magnetic Resonance (MR) images. It uses a model based approach (including an explicit model for MR bias fields) in which all the model parameters are automatically estimated for each individual scan. This enables it to process large amounts of data from normal subjects and subjects suffering from Multiple Sclerosis without need for user intervention or preceeding manual training phase
Lyngby,,Matlab functional neuroimaging analysis toolbox,,"Finn Arup Nielsen, Technical University of Denmark",Finn Arup Nielsen,http://hendrix.imm.dtu.dk/software/lyngby/,Free for research,Internet download,,,Not recorded,,Yes,Matlab 6 (Matlab 5 and perhaps matlab 4.2 might work),"Lars Kai Hansen, Finn Arup Nielsen, Peter Toft, Matthew Liptrot, Cyril Goutte, Stephen C. Strother, Nick Lange, Anders Gade, David A. Rottenburg, Olaf B. Paulson, 'Lyngby' - A modeler's toolbox for spatio-temporal analysis of functional neuroimages, NeuroImage 9 (6 part 2):S241, 1999.",,"On Clustering fMRI Time series, NeuroImage 9(3):298-310, 1999 March Cyril Goutte, Peter Toft, Egill Rostrup, Finn Arup Nielsen, Lars Kai Hansen","functional, HBP supported, statistical",MATLAB,19 Feb 2002,"Matlab toolbox for the analysis of function neuroimages (PET, fMRI)."
Videoscribbler,,Live video stereology overlay for Macintosh,,Tony Capra and Michael Connolly,rwilliam@nb.utmem.edu,nervenet.org/videoscribbler/vscrib.html,free,download,,,Not recorded,,Yes,"Hardware Requirements You will need an Apple Macintosh computer with a video input source. We recommend recent hardware (G3 and G4 desktops or portables with Firewire). The video can come from built-in sources, an add-in card, or a video camera attached to the Firewire port on Macintosh computers. Our system has been tested almost exclusively with Firewire video; however, any video digitizer whose driver implements a QuickTime vdig component should work. The code uses the Sequence Grabber to do the overlay.|Camera/Video input|Just about any video input should work (PAL, NTSC, S-video, etc.), but as a first step you will need to convert your video signal to Firewire. If you have a conventional video camera or source (VHS deck) you may want to get a Formac Studio converter box (www.formac.com; $429 list; 8/8/2001). This box will convert NTSC composite or S-video output to Firewire.|One recommended camera for direct Firewire video microscopy is the Canon XL1 MiniDV camcorder. The 3-chip camera offers simultaneous output in composite, S-video, and Firewire video formats. You will need to have an adapter machined to fit an XL1 to your microscope. Contact Rob Williams for details on the adapter we made for a Zeiss Universal that is used by the iScope.|Software Requirements QuickTime 4 or higher. Mac OS 8.6 or higher is probably necessary for FireWire. We have not yet tested VideoScribbler under Mac OS X.",,,,"statistical, stereology","MacOS, Mac OS X/UNIX",27 Feb 2002,"VideoScribbler is a program that makes it possible to trace directly onto live video. It was developed to provide a way to outline and count cells in a video image. Hardware requirements are minimal.|Using VideoScribbler|VideoScribbler is easy to use. On startup, the program displays the live video image in a 640x480 window. Simply click and drag the mouse to outline cells. When you release the mouse button, Videoscribbler will complete your outline and increment the 'Object Count' display at the bottom of the window. To clear the video image of outlines and reset the object count, choose 'Clear Counts' from the Edit menu.|The red and green frame overlaid on the video image is a standard unbiased counting frame. We use this frame to define an area in which to count cells. You can hide the counting box by selecting 'Use Counting Frame' from the Edit menu. You can resize the frame by choosing 'Frame Size' from the Edit menu. The frame size is stored in the VideoScribbler Prefs file and is preserved between sessions. If you want to move the count box to a location other than the middle of the screen, hold shift and click on the new center of the count box.|The current implementation supports drawing in only one color (video inverse) but it would be a simple matter to expand the drawing capabilities of the program."
FIASCO,Functional Image Analysis Software Computational Olio,CMU Statistics Department,,"Joel Welling, et al",bakalj@stat.cmu.edu,http://www.stat.cmu.edu/~fiasco/,Freely available,Download from website,5.1 patch 3,13 February 2002/17 April 2002,Yes,,Yes,UNIX,"Lazar, N.A., Eddy, W.F., Genovese, C., Welling, J. (2001) Statistical Issues in fMRI for Brain Imaging. International Statistical Review, 69, 105-127.|Eddy, W.F., Fitzgerald, M., Genovese,C., Lazar, N., Mochus, A., Welling, J. (2001) The Challenge of Functional Magnetic Resonance Imaging. Journal of Computational and Graphical Statistics, Volume 8, Number 3, 545-558.|Eddy, W.F., Fitzgerald, M., Noll, D.C. (1996) Improved Image Registration by Using Fourier Interpolation. Magnetic Resonance in Medicine, Volume 36, Number 6, 923-931.","Lazar, N.A., Luna, B., Sweeney, J.A., and Eddy, W.F. (TBA) Combining Brains: A Survey of Methods for the Statistical Pooling of Information. NeuroImage.|Rosano, C., Krisky, C.M., Welling, J.S., Eddy, W.F., Luna, B., Thulborn, K.R., and Sweeney, J.A. (2001) Pursuit and Saccadic Eye Movement Subregions in Human Frontal Eye Field: a High Resolution fMRI Investigation. Cerebral Cortex.|McNamee, R.L., Eddy, W.F. (2001) Visual Analysis of Variance - A Tool for Quantitative Assessment of fMRI Data Processing and Analysis. Magnetic Resonance in Medicine, 46: 1202-1208",,"functional, registration, statistical, visualization, volume","HPUX, IRIX, Linux, SunOS, UNIX",22 Apr 2002,"FIASCO is a collection of software designed to analyze fMRI data using a series of processing steps. The input is the raw data, and the outputs are statistical brain maps showing regions of neural activation.|Corrections for different systematic variations in the k-space (raw) data obtained from an fMRI session (head motion, ghosting, etc) are performed first. The image is then reconstructed (using the Fast Fourier Transform) and statistical analyses run. The user has a great deal of flexibility in choosing which corrections and statistics are executed. FIASCO emphasizes correct statistical models, for example for group comparisons."
